                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.4008,                 1.0311,                 1.1821,                0.72189,                0.32687,                0.36861,                0.19888,                 2.0124,                 1.6394,                 1.5703,             0.00088078,             0.00088078,             0.00088078
                     67,                 1.3753,                 1.0274,                 1.1649,                0.69056,                0.33086,                0.35508,                0.19138,                 2.1118,                 1.6184,                 1.6205,             0.00085513,             0.00085513,             0.00085513
                     68,                 1.3918,                 1.0616,                 1.1833,                0.66761,                0.33457,                0.36894,                0.21496,                 1.8876,                 1.5667,                 1.5159,             0.00082959,             0.00082959,             0.00082959
                     69,                 1.3887,                  1.045,                 1.1671,                0.64562,                0.32346,                0.34516,                0.18485,                 2.0795,                 1.7084,                 1.6188,             0.00080417,             0.00080417,             0.00080417
                     70,                 1.3894,                 1.0297,                 1.1962,                 0.6732,                0.32044,                0.35131,                0.19627,                 2.0162,                 1.6638,                 1.5692,             0.00077889,             0.00077889,             0.00077889
                     71,                 1.3585,                 1.0097,                 1.1567,                0.70003,                0.35309,                0.37744,                0.22004,                 1.9223,                 1.5695,                 1.5237,             0.00075377,             0.00075377,             0.00075377
                     72,                 1.3387,                0.96676,                 1.1412,                0.68877,                0.31147,                0.34749,                0.19276,                 2.0722,                 1.6484,                 1.5847,             0.00072882,             0.00072882,             0.00072882
                     73,                 1.3518,                0.99748,                 1.1297,                0.65732,                0.34574,                 0.3659,                0.20039,                 2.0663,                 1.6053,                 1.5959,             0.00070407,             0.00070407,             0.00070407
                     74,                 1.3804,                 1.0196,                 1.1543,                0.65342,                0.34074,                0.36393,                0.19319,                 2.0712,                  1.597,                 1.5858,             0.00067953,             0.00067953,             0.00067953
                     75,                  1.282,                0.92724,                 1.1134,                0.72539,                0.34444,                0.37813,                0.21718,                 1.9773,                 1.5238,                 1.5474,             0.00065522,             0.00065522,             0.00065522
                     76,                  1.316,                0.99302,                 1.1556,                0.68035,                 0.3358,                0.36857,                0.20815,                 1.9735,                 1.6311,                 1.5565,             0.00063114,             0.00063114,             0.00063114
                     77,                 1.2916,                0.94249,                 1.1237,                0.68999,                0.34938,                0.38373,                0.21936,                 1.9564,                 1.5264,                 1.5413,             0.00060733,             0.00060733,             0.00060733
                     78,                  1.275,                 0.9365,                 1.1143,                0.74831,                0.33768,                0.38417,                  0.222,                 1.9062,                   1.49,                 1.5279,             0.00058379,             0.00058379,             0.00058379
                     79,                   1.26,                0.91365,                 1.1024,                0.72257,                0.35679,                0.39073,                0.22255,                 1.9138,                 1.5084,                 1.5193,             0.00056055,             0.00056055,             0.00056055
                     80,                 1.2319,                0.90705,                 1.1164,                0.70093,                0.34815,                0.38874,                0.22274,                 1.8938,                 1.4951,                 1.5088,             0.00053761,             0.00053761,             0.00053761
                     81,                 1.2472,                0.91668,                 1.1171,                0.71085,                0.34444,                0.38712,                 0.2009,                 2.0135,                 1.5636,                 1.5839,               0.000515,               0.000515,               0.000515
                     82,                  1.215,                0.89066,                 1.0985,                0.73873,                0.36173,                0.40246,                0.22708,                 1.9449,                 1.4407,                 1.5446,             0.00049273,             0.00049273,             0.00049273
                     83,                 1.1892,                0.88249,                 1.0828,                0.70319,                0.35977,                0.39834,                0.22623,                 1.9041,                  1.475,                 1.5028,             0.00047081,             0.00047081,             0.00047081
                     84,                 1.1919,                0.86356,                 1.0827,                0.70219,                0.36667,                0.40142,                0.23767,                 1.9154,                 1.4613,                 1.5032,             0.00044926,             0.00044926,             0.00044926
                     85,                 1.2275,                0.91007,                 1.1161,                0.70952,                0.36543,                0.40335,                 0.2256,                 1.9176,                 1.4846,                 1.5071,             0.00042809,             0.00042809,             0.00042809
                     86,                 1.2155,                0.89964,                 1.0961,                0.71639,                0.35185,                0.40119,                 0.2357,                 1.8895,                 1.4393,                 1.4836,             0.00040733,             0.00040733,             0.00040733
                     87,                 1.2429,                0.89517,                 1.1056,                0.66847,                0.36296,                0.38298,                0.21223,                 2.0148,                 1.5298,                 1.5485,             0.00038697,             0.00038697,             0.00038697
                     88,                 1.2121,                0.88478,                 1.0971,                0.72875,                0.36173,                0.40215,                0.23961,                 1.8471,                 1.4103,                 1.4727,             0.00036705,             0.00036705,             0.00036705
                     89,                 1.1898,                0.86758,                 1.0867,                0.69605,                 0.3679,                 0.4038,                0.24143,                 1.8314,                 1.4333,                 1.4634,             0.00034756,             0.00034756,             0.00034756
                     90,                 1.1742,                0.86661,                  1.096,                0.68961,                0.38025,                0.40664,                0.24096,                 1.8445,                  1.418,                 1.4738,             0.00032853,             0.00032853,             0.00032853
                     91,                 1.1314,                  0.822,                  1.054,                0.71125,                0.37778,                0.41445,                0.24432,                 1.8092,                 1.3831,                 1.4653,             0.00030996,             0.00030996,             0.00030996
                     92,                 1.1516,                0.82907,                 1.0644,                0.68629,                0.38352,                0.41005,                0.24422,                 1.8149,                 1.3993,                 1.4647,             0.00029188,             0.00029188,             0.00029188
                     93,                 1.1632,                 0.8371,                 1.0697,                0.74749,                0.35926,                0.40471,                0.23366,                 1.8706,                 1.4273,                 1.4854,             0.00027429,             0.00027429,             0.00027429
                     94,                 1.1195,                0.80458,                 1.0469,                0.68867,                0.37284,                0.40449,                0.23357,                 1.8656,                 1.4174,                  1.482,              0.0002572,              0.0002572,              0.0002572
                     95,                 1.1069,                0.80134,                  1.051,                0.69153,                 0.3963,                0.41062,                0.23948,                 1.8351,                 1.3946,                 1.4687,             0.00024063,             0.00024063,             0.00024063
                     96,                 1.1207,                0.81886,                 1.0572,                0.67738,                0.38889,                0.40973,                 0.2389,                 1.8633,                 1.3897,                 1.4847,             0.00022458,             0.00022458,             0.00022458
                     97,                 1.1406,                0.83846,                 1.0599,                0.71705,                0.38272,                0.41065,                0.24422,                 1.8478,                 1.4013,                 1.4698,             0.00020907,             0.00020907,             0.00020907
                     98,                 1.1332,                0.82812,                  1.066,                0.71234,                0.40966,                0.42872,                0.25666,                 1.7854,                 1.3505,                 1.4524,             0.00019412,             0.00019412,             0.00019412
                     99,                 1.0922,                0.80558,                 1.0479,                0.70306,                0.39259,                0.41866,                0.24703,                 1.8107,                 1.4129,                 1.4618,             0.00017972,             0.00017972,             0.00017972
                    100,                 1.0508,                0.76895,                 1.0448,                  0.708,                0.38315,                 0.4233,                0.25063,                  1.786,                 1.3515,                 1.4463,             0.00016589,             0.00016589,             0.00016589
                    101,                 1.0848,                0.78769,                 1.0395,                0.69973,                0.39753,                0.42711,                0.25627,                 1.7731,                 1.3543,                 1.4425,             0.00015263,             0.00015263,             0.00015263
                    102,                 1.0628,                0.77859,                 1.0281,                0.68198,                0.40617,                0.42986,                0.25531,                 1.7836,                 1.3482,                 1.4415,             0.00013997,             0.00013997,             0.00013997
