                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.5922,                 1.2902,                 1.2992,                0.67892,                0.34074,                0.37876,                0.20595,                 2.1374,                 1.8024,                 1.5886,              0.0003553,              0.0003553,              0.0003553
                     75,                 1.5695,                 1.2577,                 1.3278,                0.66169,                0.34568,                0.38103,                0.19904,                 2.2025,                 1.8287,                 1.6055,              0.0003323,              0.0003323,              0.0003323
                     76,                 1.6345,                 1.3592,                 1.3434,                0.72244,                 0.3321,                0.38213,                0.21393,                 2.1004,                 1.7817,                 1.5777,             0.00030996,             0.00030996,             0.00030996
                     77,                 1.5977,                 1.2807,                 1.3285,                0.66569,                0.35309,                0.39412,                0.21488,                 2.0667,                  1.764,                 1.5806,             0.00028832,             0.00028832,             0.00028832
                     78,                 1.5609,                 1.2505,                 1.2818,                0.72637,                0.34568,                0.39351,                0.20841,                 2.0902,                 1.7376,                 1.5806,             0.00026739,             0.00026739,             0.00026739
                     79,                 1.5578,                 1.2397,                 1.3074,                0.69594,                0.33827,                 0.3834,                0.20301,                 2.1533,                 1.7729,                 1.5939,             0.00024719,             0.00024719,             0.00024719
                     80,                 1.5421,                 1.2482,                 1.3119,                0.67821,                0.34074,                0.38233,                0.20962,                 2.1337,                 1.7842,                 1.5776,             0.00022775,             0.00022775,             0.00022775
                     81,                 1.4979,                 1.1936,                 1.2909,                0.65412,                0.36296,                0.38946,                0.21111,                 2.0894,                 1.7537,                 1.5789,             0.00020907,             0.00020907,             0.00020907
                     82,                 1.5573,                 1.2323,                 1.2874,                0.68597,                0.35058,                0.39402,                0.21393,                  2.037,                 1.6942,                 1.5571,             0.00019119,             0.00019119,             0.00019119
                     83,                 1.5321,                 1.2148,                 1.2833,                0.67585,                0.36543,                0.39765,                0.21738,                 2.0118,                 1.6753,                 1.5531,             0.00017412,             0.00017412,             0.00017412
                     84,                 1.5256,                 1.1931,                 1.2944,                0.65192,                0.37407,                 0.4009,                0.22203,                 2.0187,                 1.6808,                 1.5454,             0.00015787,             0.00015787,             0.00015787
                     85,                 1.5071,                  1.199,                 1.2669,                0.67438,                0.36296,                0.40037,                0.22007,                 2.0294,                 1.6906,                 1.5478,             0.00014246,             0.00014246,             0.00014246
                     86,                 1.4924,                 1.1831,                 1.2458,                0.73856,                0.34877,                0.39702,                0.21428,                 2.0683,                 1.7112,                   1.56,              0.0001279,              0.0001279,              0.0001279
                     87,                  1.503,                 1.2154,                 1.2537,                0.69085,                0.36543,                0.40371,                0.22533,                 2.0083,                 1.6635,                 1.5432,             0.00011422,             0.00011422,             0.00011422
                     88,                 1.4829,                 1.1766,                 1.2663,                0.70115,                0.36496,                0.40601,                0.22226,                 2.0375,                 1.6512,                 1.5521,             0.00010142,             0.00010142,             0.00010142
                     89,                 1.4722,                 1.1534,                  1.264,                0.66217,                0.36781,                0.39972,                0.21624,                  2.069,                 1.6926,                 1.5571,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     90,                  1.478,                 1.2063,                 1.2522,                 0.7056,                0.35507,                0.40163,                0.21983,                   2.06,                 1.6956,                 1.5552,             7.8528e-05,             7.8528e-05,             7.8528e-05
                     91,                 1.5113,                 1.2358,                 1.3034,                0.75611,                0.33682,                0.38556,                0.20024,                 2.2077,                 1.7689,                 1.6122,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     92,                 1.4568,                 1.1675,                 1.2697,                 0.7364,                0.34144,                0.38844,                0.20459,                 2.1451,                  1.736,                 1.5903,             5.9309e-05,             5.9309e-05,             5.9309e-05
                     93,                 1.4334,                  1.158,                 1.2724,                0.69949,                0.35921,                0.40184,                0.20943,                 2.1122,                 1.6996,                 1.5829,             5.1103e-05,             5.1103e-05,             5.1103e-05
                     94,                 1.4301,                 1.1692,                 1.2806,                0.71426,                0.36173,                0.40751,                0.21707,                 2.0662,                 1.6654,                 1.5703,             4.3842e-05,             4.3842e-05,             4.3842e-05
                     95,                 1.4262,                 1.1404,                 1.2834,                0.71456,                0.35926,                0.40863,                0.22026,                 2.0505,                 1.6518,                 1.5612,             3.7536e-05,             3.7536e-05,             3.7536e-05
                     96,                 1.4458,                 1.1752,                 1.2691,                0.66637,                0.36049,                0.40546,                0.21792,                  2.056,                 1.6533,                 1.5626,             3.2189e-05,             3.2189e-05,             3.2189e-05
                     97,                 1.4204,                 1.1405,                 1.2617,                0.71326,                0.35309,                0.40582,                 0.2185,                 2.0578,                 1.6611,                 1.5595,             2.7806e-05,             2.7806e-05,             2.7806e-05
                     98,                 1.4173,                 1.1232,                 1.2524,                0.72626,                0.34938,                0.40577,                0.22189,                 2.0415,                 1.6534,                 1.5491,             2.4394e-05,             2.4394e-05,             2.4394e-05
                     99,                 1.4359,                 1.1693,                 1.2716,                0.72629,                0.35053,                0.40347,                0.21998,                 2.0469,                 1.6508,                 1.5514,             2.1954e-05,             2.1954e-05,             2.1954e-05
                    100,                 1.4172,                  1.122,                 1.2552,                0.74455,                0.35264,                0.40828,                 0.2218,                 2.0388,                 1.6514,                 1.5527,             2.0489e-05,             2.0489e-05,             2.0489e-05
